12:19:12.593 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
13:06:06.510 [ApplicationImpl pooled thread 49] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:08:18.113 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - testng
13:08:18.114 [ApplicationImpl pooled thread 56] INFO  com.browserstack.utils.Helpers - true
13:08:18.114 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:09:11.851 [ApplicationImpl pooled thread 53] INFO  c.b.l.BrowserStackRunExtension - testng
13:09:11.853 [ApplicationImpl pooled thread 53] INFO  com.browserstack.utils.Helpers - true
13:09:11.853 [ApplicationImpl pooled thread 53] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:19:06.300 [ApplicationImpl pooled thread 54] INFO  c.b.l.BrowserStackRunExtension - testng
13:19:06.300 [ApplicationImpl pooled thread 54] INFO  com.browserstack.utils.Helpers - true
13:19:06.301 [ApplicationImpl pooled thread 54] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:20:08.914 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - testng
13:20:08.915 [ApplicationImpl pooled thread 61] INFO  com.browserstack.utils.Helpers - true
13:20:08.916 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:20:51.297 [ApplicationImpl pooled thread 58] INFO  c.b.l.BrowserStackRunExtension - testng
13:20:51.297 [ApplicationImpl pooled thread 58] INFO  com.browserstack.utils.Helpers - true
13:20:51.298 [ApplicationImpl pooled thread 58] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:25:26.595 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - testng
13:25:26.595 [ApplicationImpl pooled thread 67] INFO  com.browserstack.utils.Helpers - true
13:25:26.596 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:33:05.926 [ApplicationImpl pooled thread 72] INFO  c.b.l.BrowserStackRunExtension - testng
13:33:05.926 [ApplicationImpl pooled thread 72] INFO  com.browserstack.utils.Helpers - true
13:33:05.926 [ApplicationImpl pooled thread 72] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:35:17.507 [ApplicationImpl pooled thread 82] INFO  c.b.l.BrowserStackRunExtension - testng
13:35:17.507 [ApplicationImpl pooled thread 82] INFO  com.browserstack.utils.Helpers - true
13:35:17.508 [ApplicationImpl pooled thread 82] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:36:30.291 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - testng
13:36:30.292 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - true
13:36:30.292 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:42:21.982 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - testng
13:42:21.983 [ApplicationImpl pooled thread 86] INFO  com.browserstack.utils.Helpers - true
13:42:21.984 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:45:03.784 [ApplicationImpl pooled thread 73] INFO  c.b.l.BrowserStackRunExtension - testng
13:45:03.785 [ApplicationImpl pooled thread 73] INFO  com.browserstack.utils.Helpers - true
13:45:03.786 [ApplicationImpl pooled thread 73] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:45:23.681 [ApplicationImpl pooled thread 91] INFO  c.b.l.BrowserStackRunExtension - testng
13:45:23.681 [ApplicationImpl pooled thread 91] INFO  com.browserstack.utils.Helpers - true
13:45:23.681 [ApplicationImpl pooled thread 91] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:52:08.999 [ApplicationImpl pooled thread 99] INFO  c.b.l.BrowserStackRunExtension - testng
13:52:08.999 [ApplicationImpl pooled thread 99] INFO  com.browserstack.utils.Helpers - true
13:52:09.000 [ApplicationImpl pooled thread 99] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:55:56.750 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - testng
13:55:56.751 [ApplicationImpl pooled thread 86] INFO  com.browserstack.utils.Helpers - true
13:55:56.751 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:57:39.031 [ApplicationImpl pooled thread 107] INFO  c.b.l.BrowserStackRunExtension - testng
13:57:39.031 [ApplicationImpl pooled thread 107] INFO  com.browserstack.utils.Helpers - true
13:57:39.032 [ApplicationImpl pooled thread 107] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:00:32.741 [ApplicationImpl pooled thread 99] INFO  c.b.l.BrowserStackRunExtension - testng
14:00:32.742 [ApplicationImpl pooled thread 99] INFO  com.browserstack.utils.Helpers - true
14:00:32.742 [ApplicationImpl pooled thread 99] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:04:18.388 [ApplicationImpl pooled thread 111] INFO  c.b.l.BrowserStackRunExtension - testng
14:04:18.389 [ApplicationImpl pooled thread 111] INFO  com.browserstack.utils.Helpers - true
14:04:18.390 [ApplicationImpl pooled thread 111] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:05:51.593 [ApplicationImpl pooled thread 106] INFO  c.b.l.BrowserStackRunExtension - testng
14:05:51.593 [ApplicationImpl pooled thread 106] INFO  com.browserstack.utils.Helpers - true
14:05:51.593 [ApplicationImpl pooled thread 106] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
14:09:40.017 [ApplicationImpl pooled thread 114] INFO  c.b.l.BrowserStackRunExtension - testng
14:09:40.017 [ApplicationImpl pooled thread 114] INFO  com.browserstack.utils.Helpers - true
14:09:40.018 [ApplicationImpl pooled thread 114] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:13:10.706 [ApplicationImpl pooled thread 158] INFO  c.b.l.BrowserStackRunExtension - testng
15:13:10.707 [ApplicationImpl pooled thread 158] INFO  com.browserstack.utils.Helpers - true
15:13:10.707 [ApplicationImpl pooled thread 158] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:14:31.343 [ApplicationImpl pooled thread 152] INFO  c.b.l.BrowserStackRunExtension - testng
15:14:31.343 [ApplicationImpl pooled thread 152] INFO  com.browserstack.utils.Helpers - true
15:14:31.343 [ApplicationImpl pooled thread 152] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:15:11.676 [ApplicationImpl pooled thread 147] INFO  c.b.l.BrowserStackRunExtension - testng
15:15:11.677 [ApplicationImpl pooled thread 147] INFO  com.browserstack.utils.Helpers - true
15:15:11.677 [ApplicationImpl pooled thread 147] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:16:36.608 [ApplicationImpl pooled thread 161] INFO  c.b.l.BrowserStackRunExtension - testng
15:16:36.609 [ApplicationImpl pooled thread 161] INFO  com.browserstack.utils.Helpers - true
15:16:36.610 [ApplicationImpl pooled thread 161] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:16:57.770 [ApplicationImpl pooled thread 167] INFO  c.b.l.BrowserStackRunExtension - testng
15:16:57.770 [ApplicationImpl pooled thread 167] INFO  com.browserstack.utils.Helpers - true
15:16:57.770 [ApplicationImpl pooled thread 167] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:18:50.078 [ApplicationImpl pooled thread 152] INFO  c.b.l.BrowserStackRunExtension - testng
15:18:50.079 [ApplicationImpl pooled thread 152] INFO  com.browserstack.utils.Helpers - true
15:18:50.080 [ApplicationImpl pooled thread 152] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:19:32.179 [ApplicationImpl pooled thread 152] INFO  c.b.l.BrowserStackRunExtension - testng
15:19:32.179 [ApplicationImpl pooled thread 152] INFO  com.browserstack.utils.Helpers - true
15:19:32.179 [ApplicationImpl pooled thread 152] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:21:00.533 [ApplicationImpl pooled thread 170] INFO  c.b.l.BrowserStackRunExtension - testng
15:21:00.534 [ApplicationImpl pooled thread 170] INFO  com.browserstack.utils.Helpers - true
15:21:00.535 [ApplicationImpl pooled thread 170] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:21:35.579 [ApplicationImpl pooled thread 173] INFO  c.b.l.BrowserStackRunExtension - testng
15:21:35.579 [ApplicationImpl pooled thread 173] INFO  com.browserstack.utils.Helpers - true
15:21:35.580 [ApplicationImpl pooled thread 173] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
15:23:55.933 [ApplicationImpl pooled thread 172] INFO  c.b.l.BrowserStackRunExtension - testng
